N;min;avg;max
100;0.0599;0.068135;0.081
200;0.1577;0.209075;0.3104
300;0.2696;0.31781;0.4661
400;0.4785;0.509065;0.572
500;0.7466;0.788575;0.9286
600;1.1131;1.24958;1.4375
700;1.4929;1.59664;1.8689
800;1.8742;2.11082;2.5493
900;2.4609;2.90566;6.6279
1000;3.0242;3.40989;4.3749
1100;3.6774;4.76174;7.0145
1200;4.3846;4.93721;8.4884
1300;5.1939;7.22249;14.1468
1400;5.9361;7.65348;12.9239
1500;7.1248;10.8517;16.8083
1600;7.9566;10.28;15.2596
1700;9.1866;12.0009;17.4106
1800;10.8953;12.1246;18.4733
1900;11.9945;13.1678;17.9037
2000;12.9748;17.8989;52.5645
2100;14.4856;17.6606;30.6649
2200;15.038;17.9035;33.3406
2300;17.0474;20.8287;44.4539
2400;18.6703;23.0858;37.676
2500;20.3398;24.4414;53.3668
2600;22.7661;25.8688;36.1923
2700;24.176;28.5378;36.0228
2800;25.6579;29.0347;33.4555
2900;28.2511;31.6075;41.3039
3000;30.4393;36.2163;60.8693
3100;32.4644;37.7965;54.9078
3200;33.9827;52.4847;106.313
3300;36.034;44.3949;95.4295
3400;37.7072;54.9012;118.705
3500;40.9906;44.0537;50.0013
3600;42.603;53.7034;100.985
3700;44.7719;55.0763;78.2526
3800;46.5146;58.0321;84.9637
3900;49.3565;58.9951;90.0003
4000;51.682;65.1247;92.509
4100;54.7111;64.6935;102.487
4200;58.0657;66.5031;85.8507
4300;61.8392;72.5264;101.249
4400;64.1053;75.634;98.2197
4500;65.7685;78.0022;100.951
4600;69.0016;80.0989;101.923
4700;71.001;87.5821;112.196
4800;77.635;94.202;140.553
4900;79.5236;94.9457;123.896
