N;min;avg;max
100;0.0083;0.00996;0.0216
200;0.0155;0.01712;0.0199
300;0.0249;0.02647;0.0277
400;0.0368;0.039635;0.0415
500;0.0522;0.055545;0.0581
600;0.0719;0.078345;0.0857
700;0.0991;0.10777;0.1232
800;0.1356;0.145475;0.158
900;0.1676;0.178125;0.186
1000;0.1822;0.19198;0.2111
1100;0.2037;0.214005;0.2822
1200;0.2217;0.234385;0.2483
1300;0.2246;0.250325;0.2635
1400;0.2094;0.232495;0.3016
1500;0.2248;0.28945;0.324
1600;0.1891;0.30022;0.3354
1700;0.1748;0.268895;1.5682
1800;0.1491;0.17808;0.2037
1900;0.169;0.223805;0.2782
2000;0.2371;0.299465;0.3956
2100;0.2582;0.29521;0.3396
2200;0.2106;0.257435;0.4571
2300;0.216;0.27406;0.3635
2400;0.3433;0.456845;0.6647
2500;0.3409;0.422915;0.5093
2600;0.2776;0.323355;0.3842
2700;0.3101;0.36201;0.4286
2800;0.2437;0.274635;0.3441
2900;0.2565;0.265775;0.2899
3000;0.2649;0.276685;0.2949
3100;0.2729;0.289725;0.3239
3200;0.281;0.295695;0.3163
3300;0.2972;0.320155;0.5088
3400;0.3106;0.35426;0.4907
3500;0.3229;0.49926;0.7416
3600;0.3211;0.334855;0.3509
3700;0.3245;0.359645;0.5924
3800;0.3349;0.3479;0.3673
3900;0.3465;0.461115;0.8812
4000;0.3699;0.64486;0.8919
4100;0.3745;0.383185;0.3955
4200;0.3922;0.47301;0.6056
4300;0.4258;0.508215;0.5868
4400;0.4006;0.418895;0.4572
4500;0.4109;0.43328;0.49
4600;0.4252;0.44068;0.4587
4700;0.4375;0.707125;0.9868
4800;0.4476;0.48954;0.6488
4900;0.4537;0.497985;0.8575
